RETURN_ID,ORDER_ID,PRODUCT_ID,RETURN_DATE,RETURN_REASON,RETURN_STATUS,REFUND_AMOUNT,QUANTITY_RETURNED
RET-4C94DE11506,ORD-65043F50A15,PRD-5AD8B33EB62,2026-03-15 22:36:26.224378,Too Late,Refunded,538.08,1
RET-1811016FF7D,ORD-917610DD572,PRD-98DEC6F2072,2024-05-05 19:53:39.869829,Duplicate Order,Pending,262.8,2
RET-1D69B18B2B6,ORD-25DDED4A250,PRD-6397A5CE27C,2024-11-06 06:55:39.854252,Changed Mind,Pending,731.34,1
RET-B089AE60289,ORD-AC8598CEBFA,PRD-16B91A4820F,2026-04-07 16:26:08.874104,Better Price Found,Refunded,1119.16,3
RET-76A70C91C4A,ORD-BCC1580240B,PRD-A0F8131D883,2024-06-27 08:20:29.631570,Better Price Found,Approved,860.0,2
RET-12C3EF2A069,ORD-A4FBE471C6A,PRD-624BE4C7311,2025-03-31 08:42:59.140611,Defective,Rejected,3754.87,2
RET-3EDF8001560,ORD-C9D910849BF,PRD-0A33890F86F,2025-11-05 22:20:16.786321,Wrong Item,Pending,260.4,3
RET-4BEFFFE0014,ORD-B01B56C2B35,PRD-1ECD30EA6D0,2025-11-11 00:38:23.843072,Changed Mind,Refunded,1755.95,2
RET-4B38F665296,ORD-F85E9F59B1C,PRD-78CE464C04E,2024-06-16 11:00:50.972994,Changed Mind,Rejected,742.78,1
RET-41749537401,ORD-163FCA05430,PRD-B1256CB426C,2026-04-08 23:19:29.381739,Defective,Rejected,2086.18,1
RET-FB88F2EC4E2,ORD-4A19F278F41,PRD-12EE31D2CA8,2024-07-27 06:26:16.420084,Not as Described,Pending,1092.71,3
RET-C98DFF6A60D,ORD-FCEE2E8F0E6,PRD-3E75B6F6A0E,2025-05-09 00:39:46.132502,Changed Mind,Rejected,4605.77,2
RET-72A4A82AE57,ORD-3CE74322886,PRD-F7E7D61BF96,2024-07-24 05:40:40.305216,Changed Mind,Approved,16.43,1
RET-74B3C13A29C,ORD-88554E5B7EA,PRD-A998EF53744,2025-08-27 16:47:59.612516,Wrong Item,Refunded,638.75,1
RET-EA40E3B4E4B,ORD-9E762FE9CBD,PRD-8BD09FFDCEC,2023-08-31 10:12:51.639712,Wrong Item,Pending,1826.56,1
RET-337BEBBC9EF,ORD-CA02638C87E,PRD-AEDEE132129,2025-11-01 04:28:32.409649,Duplicate Order,Pending,1950.13,2
RET-CAFEE9FC2F2,ORD-32324F013AE,PRD-8193C2461DC,2023-08-28 12:23:50.270132,Not as Described,Refunded,742.54,3
RET-1BA800E37F1,ORD-1C0CCDC889A,PRD-280381BA4B7,2024-08-16 09:36:06.032805,Better Price Found,Refunded,905.5,2
RET-3803DA3AEA3,ORD-B4CA199AEB1,PRD-C853A319B5F,2025-07-09 04:38:42.695738,Not as Described,Pending,201.04,1
RET-1F197F2F2DC,ORD-3F81676F932,PRD-C9019561A1A,2024-06-06 12:23:14.571309,Defective,Approved,17.33,2
RET-2CC9430DBB4,ORD-D526F6A09BE,PRD-2C667D9ADB7,2026-02-01 18:49:11.077631,Duplicate Order,Approved,3678.86,1
RET-59402F2DDEF,ORD-19AB403CBDB,PRD-624BE4C7311,2025-04-05 03:54:26.580230,Duplicate Order,Rejected,411.42,2
RET-AD6E45BF126,ORD-8B064710735,PRD-2F79FA4B460,2025-03-20 18:58:32.671278,Changed Mind,Pending,107.82,3
RET-679D1DE6326,ORD-D629CAA9EB8,PRD-9859019C760,2025-03-07 19:38:40.678753,Better Price Found,Approved,1818.09,3
RET-3024CA77530,ORD-B3DB763AA4C,PRD-F09C77CE7A7,2024-03-22 23:25:51.068117,Not as Described,Refunded,167.94,2
RET-11081985853,ORD-4A24C72DB20,PRD-307D96F565F,2026-05-07 05:25:13.522634,Changed Mind,Pending,105.85,2
RET-C07F6BB6996,ORD-35A592D2A6F,PRD-191244D40F9,2026-01-07 04:37:54.623709,Too Late,Rejected,1351.67,2
RET-5CF9165B6C6,ORD-5DD087745E5,PRD-001CBAFD4CC,2024-11-30 18:45:29.739770,Defective,Pending,3720.12,1
RET-D054B4B3C20,ORD-584CD23C4E6,PRD-A87B678E802,2025-05-03 01:24:19.628865,Wrong Item,Rejected,83.98,2
RET-7255E0B4CA5,ORD-5459934C51B,PRD-B1256CB426C,2025-07-09 01:28:23.508105,Not as Described,Pending,119.31,2
RET-F92705354D0,ORD-6C3E0D8ED90,PRD-167D1AB2AE8,2026-05-01 16:42:39.886026,Too Late,Approved,4152.77,3
RET-160FFC2172E,ORD-4E010EB817E,PRD-A1B90AE5FD9,2026-03-02 21:44:33.954711,Wrong Item,Rejected,584.39,3
RET-1583AD32503,ORD-B14AABD300D,PRD-CF133053C3F,2025-07-29 09:04:01.642919,Defective,Approved,310.42,3
RET-E13F4151888,ORD-1661C510922,PRD-E608EAF65AA,2024-06-30 02:28:36.823501,Wrong Item,Pending,3012.56,1
RET-04A33B5E9DC,ORD-601A22AD67C,PRD-13000546CC9,2023-09-26 21:12:06.199269,Defective,Refunded,1507.9,3
RET-85EB4B2AE85,ORD-659862EAE25,PRD-C64140395F8,2025-07-20 12:02:14.769325,Not as Described,Rejected,1599.27,2
RET-4F8AC97D2C1,ORD-C396712FB58,PRD-F7396F38BF2,2025-10-14 08:45:04.233541,Defective,Pending,4133.34,3
RET-FC48CB73281,ORD-5B10DDD273F,PRD-94379C28760,2023-10-16 08:40:45.278966,Better Price Found,Refunded,1311.29,3
RET-A4170AE165B,ORD-762BD4C351B,PRD-FE9F6094BD0,2025-04-05 12:13:19.452869,Not as Described,Pending,1306.02,2
RET-93E7137C3E5,ORD-75A1FB2AEF6,PRD-2DB7DAC98F3,2024-06-25 06:25:39.861640,Wrong Item,Rejected,78.09,2
RET-BB04D4CA360,ORD-606BF8658AF,PRD-43D70343492,2026-01-03 19:03:42.705906,Better Price Found,Refunded,4202.27,3
RET-935B259038F,ORD-8D15556D856,PRD-AEDEE132129,2025-10-12 07:37:30.084971,Changed Mind,Pending,2684.64,3
RET-10C58E117B3,ORD-1CFEFE8DC8C,PRD-C98D918A4C7,2024-08-27 17:12:15.168419,Duplicate Order,Pending,85.0,2
RET-A404D8CE035,ORD-07B2E43F1FF,PRD-FDD0E964611,2025-03-31 22:21:51.743943,Wrong Item,Pending,2620.97,2
RET-8E6CD4826E1,ORD-E20DB596958,PRD-FCCED195B30,2025-11-28 07:20:45.145518,Better Price Found,Rejected,449.95,3
RET-0D837B314E8,ORD-CFE9A8F5FF5,PRD-E82E236A13D,2024-01-29 11:36:02.208951,Not as Described,Pending,358.29,1
RET-9230B28A4F1,ORD-D11DA5CE21F,PRD-DD2C1B65A9A,2026-06-24 14:29:28.363526,Wrong Item,Approved,427.76,1
RET-32E5F3182D8,ORD-7B8F419C8DA,PRD-55452139396,2025-05-24 12:46:12.994362,Better Price Found,Rejected,2240.43,3
RET-AEFC0654C62,ORD-A67B5736E3D,PRD-5E050F93B4F,2024-05-23 19:17:52.413293,Too Late,Pending,1775.55,2
RET-027676BD2E4,ORD-8DC0A69BD3D,PRD-0803EB5DD75,2024-07-17 01:29:35.674751,Better Price Found,Rejected,194.0,3
RET-C36EDCDF8A1,ORD-BACEE1F5125,PRD-D9AF34D4EEB,2026-04-18 20:14:41.292290,Better Price Found,Approved,547.48,1
RET-C253B631786,ORD-50D02FB408A,PRD-6C452CB37F5,2026-01-17 22:47:41.554348,Not as Described,Pending,15.41,2
RET-F3986C06422,ORD-F5867B89CA1,PRD-DE9CB1C2DE3,2025-06-06 01:00:59.562692,Duplicate Order,Rejected,772.05,1
RET-FA01506F39B,ORD-1815463374D,PRD-307D96F565F,2025-07-10 18:17:46.729525,Defective,Approved,32.22,2
RET-D0A8F8D242F,ORD-78F2825F564,PRD-7C20B555C90,2026-04-25 00:44:31.918964,Defective,Approved,221.12,2
RET-86E8B9C3B2F,ORD-E7D30DF7AC2,PRD-83E6F337451,2025-08-15 08:42:41.083319,Wrong Item,Rejected,815.33,2
RET-53D0C3717BD,ORD-EE354D56BEC,PRD-F6727CFAC1B,2024-03-16 02:09:10.725978,Duplicate Order,Refunded,2735.96,1
RET-F1066B9B49E,ORD-F9E6EA968DA,PRD-EE6D1075D79,2026-01-29 20:38:17.590801,Better Price Found,Approved,851.21,1
RET-F4018E023D8,ORD-BE0FDC9CA5C,PRD-8DD2FAD2188,2024-09-08 08:21:13.851064,Duplicate Order,Pending,109.1,3
RET-F541D5F5F13,ORD-D114D0F6F56,PRD-29C196C81CF,2025-12-28 23:27:43.544173,Changed Mind,Pending,2626.17,1
RET-63883948B41,ORD-F3372516966,PRD-A0FCB877D4F,2025-11-02 23:56:58.807388,Duplicate Order,Approved,1094.21,2
RET-5609F4D9A62,ORD-D545FB4E533,PRD-7050CFA1C8A,2025-06-28 10:06:07.303834,Defective,Rejected,375.12,2
RET-99408E52A88,ORD-D5FE1344FD0,PRD-E92BAFDDB75,2025-09-02 13:12:48.593819,Duplicate Order,Approved,367.46,1
RET-194C058E3B8,ORD-D0D42E620B9,PRD-F6D16B76089,2024-03-22 10:47:16.760810,Wrong Item,Approved,1870.72,2
RET-AB74A02CC9E,ORD-08E2137212A,PRD-4921FE52013,2025-08-05 07:25:20.150258,Wrong Item,Approved,720.04,2
RET-0E450EC472A,ORD-C197817177D,PRD-1442C9427F0,2024-03-14 07:21:22.434403,Duplicate Order,Rejected,726.32,2
RET-61EFE48DCC4,ORD-35AF6C4AABD,PRD-40519A2914C,2023-08-26 05:36:53.872304,Too Late,Refunded,1538.07,3
RET-B2307D343C4,ORD-E117D7F529E,PRD-D84CF5B4168,2023-10-02 09:11:13.787545,Duplicate Order,Approved,8.28,3
RET-60E2ED272D6,ORD-7D7FB367284,PRD-1F3E8B85C3E,2024-01-04 00:28:03.538819,Better Price Found,Approved,29.93,2
RET-740246363D1,ORD-9793AB01DA7,PRD-AB49DA50E86,2025-12-08 12:55:28.158336,Wrong Item,Pending,2135.36,2
RET-D74C6B8295D,ORD-E832D34F76A,PRD-E963A62A2FD,2025-09-27 01:26:51.908382,Duplicate Order,Refunded,4081.65,3
RET-08F47455BE4,ORD-808E54C966F,PRD-A7FA87B76DC,2025-11-17 12:17:00.663816,Duplicate Order,Rejected,268.6,3
RET-CC8C2B0559D,ORD-8309A227D01,PRD-87DB34FE250,2025-06-16 11:09:48.983473,Changed Mind,Refunded,711.6,3
RET-CAD1CF0E819,ORD-146F8FF0FD5,PRD-26AA49B549E,2025-02-22 23:47:40.141121,Defective,Rejected,1609.49,2
RET-5E1208682B7,ORD-E95DBCB4298,PRD-0B30891BE52,2026-04-17 02:47:54.261870,Not as Described,Rejected,35.01,2
RET-6464FCB7B99,ORD-74C8AB0AFAE,PRD-33BB71E96DB,2025-06-26 15:11:00.898307,Better Price Found,Rejected,2371.15,3
RET-9D31A55BA34,ORD-5FDED430571,PRD-3F1B2652A81,2024-08-14 02:10:59.231758,Changed Mind,Refunded,2989.15,2
RET-F938B069CEB,ORD-0321CF12D72,PRD-8C822196A35,2025-07-14 09:39:42.549874,Better Price Found,Pending,1093.85,3
RET-B240DC102E1,ORD-359AB3DD348,PRD-A97DD11AE67,2025-12-05 09:23:03.343728,Duplicate Order,Pending,2688.62,1
RET-2DDFF64307A,ORD-B70AB11C0CA,PRD-4F1A63AA25C,2025-08-07 13:56:07.125593,Not as Described,Refunded,64.68,1
RET-75553FE988B,ORD-3C01FC206DF,PRD-5E85A6D573B,2025-11-24 14:49:17.536389,Changed Mind,Pending,2687.87,2
RET-1972CD831F9,ORD-2E875B997AF,PRD-FCCED195B30,2026-06-30 12:14:40.019306,Too Late,Rejected,372.1,1
RET-3EBACA68AFA,ORD-3037621BFD7,PRD-E43CB902CA2,2024-04-22 18:36:09.458246,Wrong Item,Refunded,787.38,3
RET-0966C95680A,ORD-97C4B911961,PRD-084FF6CE613,2023-08-25 16:03:30.804950,Duplicate Order,Refunded,1889.71,3
RET-AC3A9D96F28,ORD-7FDE3B1BB66,PRD-C3BBAA60FA3,2023-12-30 04:31:03.346617,Better Price Found,Refunded,2680.76,1
RET-5549C2C400D,ORD-962BDEC9448,PRD-71FCBFE1035,2024-12-20 00:57:49.413369,Better Price Found,Pending,1566.09,3
RET-4E8A6ADDC8F,ORD-E14B4128AE7,PRD-8ABA08E8A41,2025-11-22 18:37:37.779269,Changed Mind,Approved,39.53,1
RET-9F6EAC99BB8,ORD-340DE23F65C,PRD-A62A0C35773,2024-02-16 10:16:43.154532,Better Price Found,Rejected,83.58,2
RET-75DC2D98648,ORD-1404C967E51,PRD-DBED3F592B8,2026-07-18 00:27:52.088046,Better Price Found,Refunded,392.38,3
RET-B3ECC00C769,ORD-58C85BBE5E7,PRD-85FA04940AB,2024-02-07 02:04:40.797137,Duplicate Order,Pending,1957.13,3
RET-10F11745F2A,ORD-4D85DBF54FC,PRD-7D81225EAAD,2023-10-21 10:06:37.604902,Too Late,Approved,620.05,2
RET-84AD1DE7448,ORD-D099941E0F4,PRD-8CABF3F6922,2025-03-05 07:58:07.456846,Better Price Found,Rejected,4541.54,3
RET-F50F80882F7,ORD-A007EE1F25B,PRD-0715A661323,2024-12-22 20:03:10.219121,Changed Mind,Refunded,748.35,1
RET-B29C7080974,ORD-9EC175297E0,PRD-BA8D1647DED,2024-05-28 03:02:03.020913,Duplicate Order,Rejected,234.6,1
RET-65F2995AC64,ORD-18DE2E818E3,PRD-518CD8CC5CA,2024-06-21 22:25:21.158946,Too Late,Pending,3383.71,3
RET-FAEA0A2CD21,ORD-971F8832CD6,PRD-865D65A369B,2023-11-25 22:45:43.203547,Wrong Item,Pending,2420.57,1
RET-23396673010,ORD-DD1182D7BD5,PRD-0A978FF10F4,2024-06-09 11:34:37.392873,Changed Mind,Approved,547.24,3
RET-97A9D370B81,ORD-7813079ADCF,PRD-E4DCB85BEFF,2023-11-16 05:38:06.937824,Too Late,Approved,309.2,2
RET-8C6D9223110,ORD-024514123AF,PRD-FFA4BCE6413,2025-08-09 08:44:17.135559,Not as Described,Rejected,183.53,3
RET-ADCE2BF8F84,ORD-770572EB187,PRD-37C17ED8738,2026-05-30 22:58:25.966423,Too Late,Rejected,2319.6,3
RET-EB6A25D63C7,ORD-CE6711A8F82,PRD-3812C50932D,2024-03-22 22:50:31.720402,Defective,Rejected,384.44,3
RET-41AD6155E01,ORD-1A74A3BE27D,PRD-3E75B6F6A0E,2025-10-09 12:50:02.538414,Too Late,Refunded,4164.44,2
RET-090317B0323,ORD-373184D6518,PRD-53C2E580827,2026-02-09 01:00:06.084583,Changed Mind,Approved,2240.27,1
RET-0C4F14CC62E,ORD-BFBC7AA689A,PRD-8393F95B6CA,2025-08-23 06:37:09.990502,Better Price Found,Pending,2163.21,1
RET-457A9FBD5D1,ORD-E255084DE84,PRD-C27344F409B,2024-08-22 15:29:49.646026,Changed Mind,Pending,392.27,2
RET-69935AF0A2D,ORD-04D635EF7FA,PRD-5371E0C1B2D,2026-05-25 15:11:12.555094,Defective,Approved,535.92,1
RET-54615312185,ORD-F0B99CBF1FC,PRD-2F79FA4B460,2025-07-08 15:24:02.391045,Too Late,Refunded,548.43,3
RET-ECEFA928EE6,ORD-DBE61AB9168,PRD-0FD09518534,2025-05-27 07:04:50.929172,Too Late,Rejected,5410.3,3
RET-BBF431DA80D,ORD-4DD1E941061,PRD-E26B00F44CE,2024-04-01 03:02:50.676591,Too Late,Pending,545.37,3
RET-750B4ACA945,ORD-EBD0FE6783A,PRD-518CD8CC5CA,2025-06-25 12:09:20.824386,Defective,Rejected,1181.36,2
RET-135FD2BD9B4,ORD-ECCF79CF3EE,PRD-2472C5350EC,2024-05-22 11:36:53.155977,Defective,Refunded,80.41,3
RET-0BD8A2FB8FC,ORD-47786CBCD76,PRD-138D36579A8,2026-02-20 00:40:05.881257,Wrong Item,Approved,2925.71,3
RET-962ECD5D1C3,ORD-3A0FEC008CB,PRD-E3C5F200D6A,2025-05-31 13:31:35.316836,Duplicate Order,Rejected,242.22,1
RET-80BA03249D9,ORD-320BDAA4B81,PRD-C5B9F023453,2025-01-12 15:31:11.775743,Too Late,Rejected,50.2,2
RET-4E65DE6EFC0,ORD-4D8C956DE2C,PRD-8553B081F45,2026-02-18 19:03:39.010405,Duplicate Order,Pending,1151.25,1
RET-EE37795D22F,ORD-1B0EAD7001A,PRD-747EE5DFF2D,2023-09-16 21:38:47.339421,Wrong Item,Pending,1393.37,2
RET-00781F9773D,ORD-683F72F74A4,PRD-1AC508E0955,2023-11-13 07:00:46.222289,Defective,Approved,1358.97,1
RET-35BDDBA133D,ORD-805790AFE69,PRD-3323C57D152,2024-09-11 19:53:00.413615,Better Price Found,Approved,37.06,2
RET-DE1A50603D2,ORD-0DE6D5FC733,PRD-9B1C6382726,2026-02-01 07:44:06.416664,Changed Mind,Rejected,123.6,1
RET-A1B4895EC3B,ORD-448578027AD,PRD-1BA5A5221EF,2026-04-11 12:48:16.428580,Better Price Found,Approved,864.94,2
RET-B685F11BABE,ORD-40B45F55A18,PRD-6B50D121659,2024-07-06 05:28:32.569676,Duplicate Order,Refunded,647.43,1
RET-B2897F87418,ORD-00505601EA0,PRD-5E050F93B4F,2026-02-07 12:11:22.053829,Wrong Item,Pending,23.01,1
RET-3C02FED59E8,ORD-BCEAE2B3959,PRD-773AA540DDD,2025-05-18 05:38:54.592189,Changed Mind,Pending,316.71,3
RET-40C49F3793A,ORD-7A985CFD809,PRD-6397A5CE27C,2024-07-02 09:44:32.308716,Better Price Found,Refunded,1587.34,1
RET-1705DC74473,ORD-469475896DC,PRD-5B3CBD3486A,2023-11-03 15:28:49.553958,Better Price Found,Approved,9.9,2
RET-08557654549,ORD-393345BA759,PRD-33BB71E96DB,2026-08-19 20:52:42.044866,Not as Described,Approved,960.75,1
RET-4D2D35AA12D,ORD-7070615422E,PRD-D836C0CFFEF,2024-11-30 10:24:47.976924,Not as Described,Refunded,331.53,3
RET-0FA5F107833,ORD-C7002BB2C92,PRD-9B1C6382726,2025-05-02 07:27:15.458390,Not as Described,Rejected,1207.87,2
RET-FDDC01C81C7,ORD-715BAE9AB62,PRD-518CD8CC5CA,2023-08-29 17:22:57.313911,Better Price Found,Approved,1042.86,3
RET-02F8684D468,ORD-8A830283CA9,PRD-98547737F31,2026-08-03 06:58:28.646303,Better Price Found,Refunded,663.33,1
RET-37BD0250385,ORD-F0360E171E4,PRD-062220235DB,2025-11-18 01:21:46.614836,Changed Mind,Pending,865.33,2
RET-13A55DCB206,ORD-5B4559C95A4,PRD-1A3FB82303A,2025-02-22 05:57:44.812976,Not as Described,Approved,1447.11,1
RET-8E39C40A71A,ORD-44043367DE0,PRD-DBED3F592B8,2025-11-10 13:12:14.163179,Changed Mind,Pending,2294.11,1
RET-A4FD9768F7F,ORD-73B514DDED8,PRD-DBED3F592B8,2025-07-13 22:19:55.387803,Changed Mind,Pending,283.28,1
RET-ACD538930B8,ORD-BAE7B810C8C,PRD-D45B97078D3,2025-06-12 02:19:06.900405,Better Price Found,Rejected,863.52,2
RET-A59C9EECF58,ORD-04088A62922,PRD-C81DDC6B0BD,2026-05-01 00:19:38.387205,Changed Mind,Refunded,3359.49,3
RET-9FA2903108C,ORD-7F879A16C15,PRD-348732ACB2F,2025-08-18 09:20:37.535277,Not as Described,Refunded,407.36,3
RET-6D277F87AF8,ORD-02ED8FC4267,PRD-A4A04CF1AF1,2023-11-02 05:25:49.583887,Not as Described,Refunded,1376.02,3
RET-77B2DC6226B,ORD-25BE717FB7A,PRD-88C6CAE7E95,2025-06-09 14:33:52.630804,Wrong Item,Refunded,617.9,3
RET-9D176691778,ORD-AA3FFA01B1E,PRD-0D2BCC7C8DE,2025-05-06 23:53:24.251436,Too Late,Approved,1198.34,3
RET-8E30CBE8673,ORD-9E6738AC879,PRD-1BB48FEC653,2026-08-05 16:30:39.311019,Changed Mind,Approved,2781.19,3
RET-B26755EF864,ORD-8F99D17597C,PRD-562C3B0BC59,2024-06-19 08:09:47.098646,Changed Mind,Refunded,371.11,3
RET-5CD70D8BA2B,ORD-1C778E5AFC2,PRD-5E050F93B4F,2026-03-19 06:59:28.329577,Wrong Item,Rejected,1312.3,2
RET-68EF02B8630,ORD-383B4D3A608,PRD-7F066290C4D,2026-06-07 06:48:42.501626,Not as Described,Pending,95.85,1
RET-20BB510A8E3,ORD-D4C2266094E,PRD-42FC9C094D7,2024-04-18 05:00:00.954432,Changed Mind,Pending,784.84,1
RET-254B881E8A6,ORD-0E1BCB5DDDF,PRD-54B1D8F1929,2023-12-01 10:22:38.948683,Wrong Item,Approved,1798.63,1
RET-D583ED46A1A,ORD-2FAD691E27B,PRD-B88F5234D5E,2026-02-13 07:46:22.040413,Too Late,Approved,18.82,1
RET-954A60D297F,ORD-1FC66897401,PRD-8CABF3F6922,2024-10-17 16:32:02.909888,Wrong Item,Refunded,1822.28,1
RET-C2E704CE734,ORD-F7D5835FEC7,PRD-A97DD11AE67,2025-02-03 09:04:42.451080,Not as Described,Pending,1165.84,3
RET-57C55CF8761,ORD-77BDE4905A6,PRD-307D96F565F,2024-12-06 03:39:52.431983,Defective,Refunded,1471.53,3
RET-C5272D288B1,ORD-D05A04A6C99,PRD-3323C57D152,2024-10-23 01:29:00.877584,Too Late,Rejected,452.1,1
RET-C73DC4C0080,ORD-70C10595287,PRD-FA228073006,2023-11-22 01:09:05.206502,Wrong Item,Approved,2181.62,3
RET-A747BF9FFED,ORD-48C22526E2E,PRD-B8292B08D69,2025-08-06 12:29:54.921101,Too Late,Pending,2064.96,3
RET-1C35EDD0062,ORD-D70FCAB0F81,PRD-BEEC04CCDE8,2025-03-15 23:42:14.507872,Better Price Found,Rejected,111.47,3
RET-A1DF217D521,ORD-E2E93C73107,PRD-E608EAF65AA,2023-09-18 06:41:27.430849,Better Price Found,Rejected,507.98,3
RET-5016B81F102,ORD-390490A10D0,PRD-307D96F565F,2023-09-16 18:14:02.558233,Changed Mind,Refunded,1972.95,1
RET-CEC49711DBB,ORD-262E1DA7039,PRD-1AA8FCAE9AA,2025-03-11 09:48:00.384943,Duplicate Order,Refunded,1286.84,1
RET-3010762C0AB,ORD-53D585E65B8,PRD-CDDF4B79E7F,2024-05-06 14:54:47.935755,Too Late,Refunded,72.92,2
RET-8A14F5897D1,ORD-AF9263339FB,PRD-BA4920DBB91,2026-04-24 19:59:09.796844,Too Late,Approved,348.39,2
RET-CAF77151EA0,ORD-D5F85F8DE7A,PRD-DD91E05E120,2024-09-20 12:45:23.281046,Too Late,Rejected,3312.82,1
RET-4FF683D48F7,ORD-8F48A0C932C,PRD-1071908493C,2025-07-15 19:07:07.664795,Not as Described,Refunded,974.19,2
RET-B216BD59843,ORD-97A98F28DFE,PRD-6F6CD5DDD3B,2024-12-26 18:23:04.783301,Better Price Found,Approved,2609.0,3
RET-5C08050A888,ORD-9F362ED1B90,PRD-459BD0B7D50,2023-12-18 18:11:00.387954,Better Price Found,Rejected,289.19,3
RET-D0F2B1CEFC9,ORD-3B00E315D86,PRD-A97DD11AE67,2026-05-14 14:06:33.412618,Better Price Found,Refunded,1979.35,1
RET-A6082664BEE,ORD-16957E5309E,PRD-5E5437C28A1,2026-05-05 16:49:00.617496,Wrong Item,Refunded,456.73,3
RET-6221E6841B6,ORD-0EE42247D5A,PRD-40519A2914C,2025-10-18 02:25:28.885563,Too Late,Refunded,574.93,1
RET-584F9D57F0C,ORD-D9797A8CCBA,PRD-66771557382,2025-02-08 15:48:32.536282,Changed Mind,Pending,399.33,1
RET-886A3748B21,ORD-0F732D9345B,PRD-A4EB83E33A5,2024-06-20 18:34:07.380931,Defective,Approved,3388.8,1
RET-7B19BE20896,ORD-65E75EBC405,PRD-94379C28760,2026-01-24 11:03:16.699721,Better Price Found,Rejected,855.5,1
RET-1BC8325DE80,ORD-2165164B8DD,PRD-4D2ED2F8111,2024-08-16 19:33:55.518533,Changed Mind,Approved,1172.96,1
RET-CD263A524B0,ORD-5DE8AD7C573,PRD-DE92541DEE5,2026-07-09 13:31:13.729284,Defective,Pending,13.69,2
RET-F27CD647698,ORD-454F33FE00A,PRD-F6727CFAC1B,2025-05-26 22:59:15.541850,Not as Described,Refunded,946.98,3
RET-F76A8E3B0DB,ORD-792E71BBCB2,PRD-7F066290C4D,2025-04-16 07:45:01.578497,Too Late,Approved,1519.56,1
RET-161FF943350,ORD-027E551069C,PRD-8DD2FAD2188,2025-02-27 15:15:48.271547,Too Late,Refunded,156.71,1
RET-EE03E04E302,ORD-9E9ED2ADED7,PRD-40519A2914C,2025-07-12 11:54:39.121666,Defective,Pending,1030.14,3
RET-0B86F3E4DE7,ORD-9203D794B5E,PRD-2886AAD7623,2025-03-06 16:55:00.652187,Too Late,Approved,2775.34,3
RET-1C6B6BB46BE,ORD-F2A452951ED,PRD-EBBA97BCEF6,2023-09-22 01:55:45.923448,Wrong Item,Approved,3318.29,1
RET-6F5E99B3099,ORD-EF8F7FE356C,PRD-AB49DA50E86,2023-12-16 03:48:28.746854,Too Late,Refunded,2124.67,3
RET-13569B20B80,ORD-E957616137D,PRD-0715A661323,2024-01-22 17:48:14.759197,Too Late,Pending,1250.13,3
RET-C51C8A377FD,ORD-95668D7184C,PRD-E43CB902CA2,2024-10-29 16:21:20.122066,Too Late,Rejected,1126.32,2
